polarity,filtered_text,sentiment,id,lang,text,subjectivity,Joe Biden,Raphael Warnock,Donald Trump,2022 Special Election,Biden 2024,2020 Election,Trump 2024,Herschel Walker,Democrats,2022 Midterm,Republicans
-0.54339998960495,"rt are you really surprised joe biden gave russia a terrorist back…? remember, he’s the guy who gave the taliban $80 bil…",Negative,"Any[""1584349209683439618""]",en,"RT @GuntherEagleman: Are you really surprised Joe Biden gave Russia a terrorist back…?  Remember, he’s the guy who gave the Taliban $80 Bil…",obj,true,false,false,false,false,false,false,false,false,false,false
-0.2168000042438507,"no none of the az citizens believe this crap. none of the us citizens believe biden won, either. az is in chains. who wants ??",Negative,"Any[""1600736022488403969""]",en,"@KariLake No none of the AZ citizens believe this crap. None of the US citizens believe Biden won, either. AZ is in chains. Who wants #crazykatie ??",obj,false,false,false,false,false,false,false,false,true,false,false
-0.83160001039505,"biden gave up a russian arms dealer known as “the merchant of death” in exchange for an anti-american wnba player, while leaving us marine paul whelan to rot in a russian prison. there is no limit to joe biden’s incompetence.",Negative,"Any[""1584349209683439618""]",en,"@jrpsaki @POTUS @WhiteHouse Biden gave up a Russian arms dealer known as “the merchant of death” in exchange for an anti-American WNBA player, while leaving US Marine Paul Whelan to rot in a Russian prison. 

There is no limit to Joe Biden’s incompetence.",obj,true,false,false,false,false,false,false,false,false,false,false
-0.38179999589920044,"on this one, i will have to disagree with tucker.",Negative,"Any[""1600736022488403970""]",en,"@Tendar On this one, I will have to disagree with Tucker.",obj,false,false,false,false,false,false,false,false,false,false,true
0.2667999863624573,joe biden doesn't care and he loves to rub it in. when will america stand up? https://t.co/rkp6tmi9z2,Positive,"Any[""1584349209683439618""]",en,Joe Biden doesn't care and he loves to rub it in. When will America stand up? https://t.co/RKp6tmI9z2,subj,true,false,false,false,false,false,false,false,false,false,false
0.07720000296831131,"rt wnba star brittney griner has been released from russian detention and is on her way back to the united states, president joe bide…",Positive,"Any[""1584349209683439618""]",en,"RT @CNN: WNBA star Brittney Griner has been released from Russian detention and is on her way back to the United States, President Joe Bide…",obj,true,false,false,false,false,false,false,false,false,false,false
0.38179999589920044,no the one that was yelling where’s nancy was paul’s naked hammer lover. get the story right,Positive,"Any[""1600736022488403970""]",en,@md_mitch105 @KDuffySr @robreiner No the one that was yelling Where’s Nancy was Paul’s naked hammer lover.  Get the story right,obj,false,false,false,false,false,false,false,false,false,false,true
0.3612000048160553,"rt thank you, and you guys really were able to get out the democrats and keep the republicans h…",Positive,"Any[""1600736022488403970"", ""1600736022488403969""]",en,"RT @MarkRuffalo: Thank you, @SenTedCruz and @LindseyGrahamSC. You guys really were able to get out the Democrats and keep the Republicans h…",obj,false,false,false,false,false,false,false,false,true,false,true
-0.3612000048160553,rt the 2020 election was rigged. that is now a fact.,Negative,"Any[""1584349209683439616""]",en,"RT @GrahamAllen_1: The 2020 Election was rigged.

That is now a FACT.",obj,false,false,false,false,false,true,false,false,false,false,false
-0.9225000143051147,rt joe biden released the most dangerous russian terrorist in the world to russia while we are at war with russia. now stop…,Negative,"Any[""1584349209683439618""]",en,"RT @bennyjohnson: Joe Biden released the most dangerous Russian terrorist in the world to Russia while we are at WAR with Russia.

Now stop…",obj,true,false,false,false,false,false,false,false,false,false,false
0.0,amen to that bob,Neutral,"Any[""1600736022488403969""]",en,@HurbydurbyBob @Tapas1776 @THEKennyLetter @RobHammerhead @blondjewels @___Awesomest___ @giddy_bunny @iam_pann @lordstanley2019 @7YRBitchLasagna @cuffsnropes @Audjuice9989 @locoashes @SithLordTwinkie @john07014099 Amen to that Bob,subj,false,false,false,false,false,false,false,false,true,false,false
0.0,and so are you clay!!! so are you 😂 clown 🤡,Neutral,"Any[""1584349209683439618""]",en,@ClayTravis and so are you clay!!! So are you 😂 clown 🤡,obj,true,false,false,false,false,false,false,false,false,false,false
